district,population_2011,area_sqkm,density,Est_population_2019,Est_population_2025
Adilabad,708972,4153,171,754346,788377
Bhadradri Kothagudem,1069261,7483,143,1137694,1189018
Hyderabad,3943323,217,18172,4195696,4384975
Jagitial,985417,2419,407,1048484,1095784
Jangaon,566376,2188,259,602624,629810
Jayashankar Bhupalpally,416763,2293,180,443436,463440
Jogulamba Gadwal,609990,2928,208,649029,678309
Kamareddy,972625,3652,266,1034873,1081559
Karimnagar,1005711,2128,473,1070077,1118351
Khammam,1401639,4361,321,1491344,1558623
Komaram Bheem Asifabad,515812,4878,106,548824,573583
Mahabubabad,774549,2877,269,824120,861298
Mahabubnagar,919903,2738,340,978777,1022932
Mancherial,807037,4016,201,858687,897425
Medak,767428,2786,275,816543,853380
Medchal,2440073,1084,2251,2596238,2713361
Mulugu,257744,3881,66,274240,286611
Nagarkurnool,893308,6545,142,950480,993358
Narayanpet,566874,2336,240,603154,630364
Nalgonda,1618416,7122,227,1721995,1799679
Nirmal,709418,3845,185,754821,788873
Nizamabad,1571022,4288,366,1671567,1746976
Peddapalli,795332,2236,356,846233,884409
Rajanna Sircilla,552037,2019,273,587367,613865
Ranga Reddy,2446265,5031,486,2602826,2720247
Sangareddy,1527628,4403,347,1625396,1698722
Siddipet,1012065,3632,279,1076837,1125416
Suryapet,1099560,3607,305,1169932,1222711
Vikarabad,927140,3386,274,986477,1030980
Wanaparthy,577758,2152,268,614735,642467
Warangal Rural,718537,2175,330,764523,799013
Warangal Urban,1080858,1309,826,1150033,1201914
Yadadri Bhuvanagiri,739448,3092,239,786773,822266
